codigo,descricao
"4.09.00000000389,CINTA SACA FILTRO OLEO 2""3/4 X 3""1/8"
"4.09.00000000390,CINTA SACA FILTRO OLEO 2""3/8X2""3/4"
4.09.00000000391,BOLSA P/FERRAMENTAS COU MR 440X150X230MM
4.09.00000000392,CHAVE PH ISOL (3/8 X 08) GEDORE
4.09.00000000393,CAVALETE 12T
"4.09.00000000394,ALAVANCA PARA CHAVE RODA 1"" X3/4 X 1200MM"
4.09.00000000395,EXTENS«O 5 TOMADAS
4.09.00000000396,MACHO MANUAL ACO RAPIDO HSS DIN M12 X 1.75MM 3PC
4.09.00000000397,ESTETOSCOPIO ELETRONICO REF. PLANATC 000397
4.09.00000000398,ESTAÄ«O COMPACTA DE TRATAMENTO - ECT-02C - Cap: 2 m3/h
4.09.00000000493,COMPRESSO DE AR MOD: ( CHIAPERINI CJ 20+ APV/250L - 5 HP )
4.09.00000000494,SARGENTO 300 MM
4.09.00000000495,TALHADEIRA 12 MM
4.09.00000000496,CHAVE COMBINADA 28 MM
4.09.00000000497,TOCHAS DE GRAFITE PARA CORTE E GOIVAGEM
4.09.00000000500,RETIFICADOR ESAB - ORIGO ARC 406 - CODIGO 0401511
4.09.00000000501,CONJUNTO DE PARA ELETRODO 400AH - 6 MT CODIGO 0400257
4.09.00000000502,PARAFUSADEIRA / FURADEIRA GSB 18 V LI PROFESSIONAL
4.09.00000000503,CARREGADOR DE BATERIAS CM 100 RC - KITA
4.09.00000000504,MULTIMETRO AUTOMOTIVO MINIPA MA-150 
4.09.00000000505,ALICATE AMPERIMETRO MINIPA ET-3200A
4.09.00000000506,MANOMETRO GLICERINA 0-100 BAR
4.09.00000000507,ALICATE AMPERIMETRO DIGITAL CLAMP METER FT 266-C
4.09.00000000560,TALHA ALAVANCA 1500KG 3,0M
4.09.00000000561,TORQUIMETRO GEDORE RED 60-300 N.M 1/2
4.09.00000000562,ALICATE GAXETA 30-55 MM
4.09.00000000563,ALICATE GAXETA 55-90 MM
4.09.00000000564,ALICATE GAXETA 90-160 MM
4.09.00000000565,JOGO CHAVE COMB 06 A 22 PÄS
4.09.00000000566,JOGO CHAVE TORX T10 A T50
4.09.00000000567,ALICATE BICO CURVO TIPO TELEFONE 6.1/2
"4.09.00000000568,CHAVE TUBO 36"""
4.09.00000000569,CHAVE BOCA AJUSTAVEL 12
"4.09.00000000570,SCANNER 3 P/DIAGNOSTICO PRO INJ. ELETRONICA C/TABLET 8"" C/KIT DIESSEL LEVE C/MATELA C/CABOS C/FONTE"
4.09.00000000571, JG.CABOS SCANNER 3 C/ LICENCA DIESEL PESADO
4.09.00000000572, JG CHAVE COMBINADA COM CATRACA
4.09.00000000573,SOQUETE PONTA MULTID LONGO 1/2 12MM
4.09.00000000574,SACA RETENTOR
4.09.00000000575,BROCA ACO RAPIDO 6.5
4.09.00000000576,BROCA WIDIA LENOX 14MM
4.09.00000000577,SOQUETE SEXTAVADO LONGO 11MM
"4.09.00000000578,CHAVE PHILIPS 3/16x3"" 1 17201"
4.09.00000000579,CHAVE COMBINADA 1.5/8 - REF. GEDORE 1B - 1.5/8
4.09.00000000580,JOGO DE CHAVE EM L
