codigo,descricao
4.09.000004513,Chave Fixa (Boca) 20 x 22 mm
4.09.000004514,Chave Fixa (Boca) 21 x 23 mm
4.09.000004515,Chave Fixa (Boca) 24 x 26 mm
4.09.000004516,Chave Fixa (Boca) 24 x 27 mm
4.09.000004517,Chave Fixa (Boca) 25 x 28 mm
4.09.000004518,Chave Fixa (Boca) 27 x 32 mm
4.09.000004558,Chave Fixa (Boca) 3/4 x 7/8''
4.09.000004552,Chave Fixa (Boca) 3/8 x 7/16''
4.09.000004555,Chave Fixa (Boca) 5/8 x 11/16''
4.09.000004501,Chave Fixa (Boca) 6 x 7 mm
4.09.000004502,Chave Fixa (Boca) 8 x 9 mm
4.09.000024603,Chave L Tipo TORX - 9mm
4.09.000024604,Chave L Tipo TORX - 10mm
4.09.000024605,Chave L Tipo TORX - 15mm
4.09.000024606,Chave L Tipo TORX - 20mm
4.09.000024607,Chave L Tipo TORX - 25mm
4.09.000024608,Chave L Tipo TORX - 27mm
4.09.000024609,Chave L Tipo TORX - 30mm
4.09.000024610,Chave L Tipo TORX - 40mm
4.09.000032295,Chave Saca Filtro de àleo Correia 36 - 1
4.09.000032210,Chave Saca Filtros Corrente 4
4.09.000006001,Chave (Starter) Meia Lua 11 x 13 mm
4.09.000006003,Chave (Starter) Meia Lua 15 x 17 mm
4.09.000006004,Chave (Starter) Meia Lua 19 x 22 mm
"4.09.000006051,Chave (Starter) Meia Lua 7/16"" x 1/2"""
"4.09.000006052,Chave (Starter) Meia Lua 9/16 x 5/8"""
4.09.000025052,Chave Tipo Biela 1/2 x 1/2'' mm
4.09.000025001,Chave Tipo Biela 10 x 10 mm
4.09.000025002,Chave Tipo Biela 11 x 11 mm
4.09.000025003,Chave Tipo Biela 12 x 12 mm
4.09.000025004,Chave Tipo Biela 13 x 13 mm
4.09.000025005,Chave Tipo Biela 14 x 14 mm
4.09.000025006,Chave Tipo Biela 15 x 15 mm
4.09.000025008,Chave Tipo Biela 17 x 17 mm
4.09.000025010,Chave Tipo Biela 19 x 19 mm
4.09.000025051,Chave Tipo Biela 7/16 x 7/16''
4.09.000025053,Chave Tipo Biela 9/16''
"4.09.000000470,Desandador at‚ 3/8""-150mm"
4.09.000206340,Esp tula de A‡o Cabo de Madeira - 80 mm
"4.09.000017120,ExtensÆo Curta 8"" Encaixe 3/4"""
4.09.000000439,Jogo Pun‡Æo Num‚rico 1 a 9 - 5mm
"4.09.000015230,Cabo ""T"" - enc. 1/2"""
"4.09.000015240,ExtensÆo Curta de 5"" enc. 1/2"""
"4.09.000015250,ExtensÆo Longa de 10"" enc. 1/2"""
4.09.000015300,Junta universal enc. 1/2'
"4.09.000015270,Catraca simples enc. 1/2"""
"4.09.000015005,Soquete 10mm enc. 1/2"" sextavado"
"4.09.000015006,Soquete 11mm enc. 1/2"" sextavado"
"4.09.000015007,Soquete 12mm enc. 1/2"" sextavado"
"4.09.000019008,Soquete 13mm enc. 1/2"" sextavado"
"4.09.000019009,Soquete 14mm enc. 1/2"" sextavado"
"4.09.000019010,Soquete 15mm enc. 1/2"" sextavado"
"4.09.000019011,Soquete 16mm enc. 1/2"" sextavado"
"4.09.000019012,Soquete 17mm enc. 1/2"" sextavado"
"4.09.000019013,Soquete 18mm enc. 1/2"" sextavado"
"4.09.000019014,Soquete 19mm enc. 1/2"" sextavado"
